sub;k;k_id;k_wm;k_gm;k_csf;k_skl;k_sft;p;p_id;e;e_r;e_t
4;reference;0;2.167000025510788e-01;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;reference;0;211.96537450061442;93.93944296124238;176.2553975080203
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;anterior;1;190.36053778178243;88.78942002518427;154.3990817151851
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;central;2;190.03888197685995;82.56762778750767;158.6879172583071
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;lateral;3;232.37722748135397;106.31334089903396;190.45531276756375
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;posterior;4;222.77078410021545;108.19725463827263;178.75024978839642
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;reference;0;247.85821667815713;111.34139594974515;205.31776273869377
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;anterior;1;184.44729096420093;82.88672516277755;152.5768208671629
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;central;2;245.52353497401492;110.99715256086657;202.19548407949964
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;lateral;3;254.86179011054625;114.26781466811984;211.50638024720232
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;posterior;4;227.64655217049986;103.9369791870265;187.77600020595114
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;reference;0;167.11940363297;85.89684764965486;128.8317497620921
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;anterior;1;144.98087091406543;71.61832581463662;114.3995332038699
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;central;2;157.23734301235405;81.91249463487964;120.64166123239164
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;lateral;3;180.48978419464706;90.72621580597112;140.8340764352391
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;posterior;4;170.79847409364518;87.18226183073067;131.94483678962717
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;reference;0;217.63835651234783;109.89054792397762;171.34945646547519
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;anterior;1;187.20344988567481;92.63541219252353;149.39273728060468
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;central;2;200.16368912531618;101.09150985656917;156.50110185103063
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;lateral;3;232.7892863238225;116.24339100324889;184.96244718356732
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;posterior;4;218.28282822138544;109.79497125730707;172.58891401653648
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;reference;0;242.15576904776546;111.17125495412478;197.4123516998569
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;anterior;1;189.10011383502012;89.65265696988827;151.7323341188127
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;central;2;226.49785440177214;102.10618536393693;185.51195260835482
