sub;k;k_id;k_wm;k_gm;k_csf;k_skl;k_sft;p;p_id;e;e_r;e_t
4;reference;0;2.167000025510788e-01;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;reference;0;284.1624033490943;156.68544863514978;209.4008489810009
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;anterior;1;295.3900707042826;162.36055860550607;218.5525881178954
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;central;2;276.0936430777463;153.1980993692595;201.89052861911594
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;lateral;3;288.2848722305253;157.84638221184764;214.09661653528948
4;reference;0;0.2167000025510788;0.4659999907016754;1.7100000381469729;0.0160000007599592;0.4137000143527984;posterior;4;272.83838649984165;150.94146073213028;200.43359115057342
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;reference;0;281.99664787913287;184.41896977871332;181.50540169720006
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;anterior;1;292.8538541989543;192.77905957798535;188.2797532168452
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;central;2;276.53316136093525;181.4954150615839;176.33468097367202
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;lateral;3;283.5763296084414;184.3649151198891;184.39900877090164
4;halton_1;1;0.14575625155625155;0.25274958274958276;1.6970937070937069;0.03828485688485689;0.23232730132730134;posterior;4;271.74198944409926;176.47268315177126;175.47795467117737
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;reference;0;229.886397984624;140.11923235145827;156.14457738767837
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;anterior;1;235.90076272941397;143.87368453315156;161.58906776970818
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;central;2;224.19015561546334;137.00570791967266;150.7255808406908
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;lateral;3;231.06847541970612;139.99620392808478;158.80074530562553
4;halton_2;2;0.3291240895240895;0.46883039883039884;1.8496551996551995;0.046267125667125666;0.2876996606996607;posterior;4;223.07134044038523;135.636151041705;150.91053749916748
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;reference;0;257.30044113280496;146.33724851042217;181.3059135974684
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;anterior;1;269.7913104992293;151.64086934148915;192.8498832732563
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;central;2;247.59334236470997;141.9456975943634;173.1210241207355
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;lateral;3;259.8824314579551;147.2397410962138;184.0884209025931
4;halton_3;3;0.23464379964379967;0.6878104478104479;2.0570493770493767;0.01909069609069609;0.33269362869362873;posterior;4;244.51184502578843;140.72912602863576;170.55547503076323
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;reference;0;285.2913532072171;172.23764670589173;201.316227942072
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;anterior;1;296.62977792738525;178.80034607220847;209.50306903330684
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;central;2;271.8024312045991;167.8303362002883;187.43217495885656
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;lateral;3;292.0507907050303;172.5989622095118;210.26240552251934
4;halton_4;4;0.4949966265966266;0.33534518534518537;1.37016781016781;0.02227782427782428;0.3728841308841309;posterior;4;273.8717393271343;165.6877619263317;193.18704681742406
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;reference;0;288.066733169779;165.0867084479513;203.00400646689886
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;anterior;1;300.35662406800503;171.2052222687238;213.30165547893623
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;central;2;280.7051799784103;160.5877038385297;197.7602983827431
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;lateral;3;290.8089682337317;166.9037055234769;205.01744661292938
4;halton_5;5;0.08014905954905956;0.5333437533437533;1.5744800744800744;0.025653630453630453;0.41102722202722203;posterior;4;274.20589725497996;157.6379163743391;192.17445991160957
4;halton_6;6;0.2679438325438325;0.8176710176710178;1.7266278266278265;0.029367697167697167;0.4490466440466441;reference;0;283.3196997639227;143.80596256340485;218.02093041966745
4;halton_6;6;0.2679438325438325;0.8176710176710178;1.7266278266278265;0.029367697167697167;0.4490466440466441;anterior;1;292.50116147804556;148.05518952596174;226.20332917517263
4;halton_6;6;0.2679438325438325;0.8176710176710178;1.7266278266278265;0.029367697167697167;0.4490466440466441;central;2;276.56855605220335;141.7706577986281;210.98257226229495
4;halton_6;6;0.2679438325438325;0.8176710176710178;1.7266278266278265;0.029367697167697167;0.4490466440466441;lateral;3;284.87409505116415;143.19888340586203;220.8741405800887
4;halton_6;6;0.2679438325438325;0.8176710176710178;1.7266278266278265;0.029367697167697167;0.4490466440466441;posterior;4;272.52365732555893;138.7608396011632;208.908598695794
4;halton_7;7;0.18004543124543126;0.17957708957708957;1.8835592635592633;0.03368349368349369;0.48881117481117486;reference;0;277.1337274628378;169.07401951584896;185.91574961382378
4;halton_7;7;0.18004543124543126;0.17957708957708957;1.8835592635592633;0.03368349368349369;0.48881117481117486;anterior;1;284.699906113551;171.93989574895593;193.03482605182583
4;halton_7;7;0.18004543124543126;0.17957708957708957;1.8835592635592633;0.03368349368349369;0.48881117481117486;central;2;268.0711802498623;164.8529218085745;177.71981771478465
4;halton_7;7;0.18004543124543126;0.17957708957708957;1.8835592635592633;0.03368349368349369;0.48881117481117486;lateral;3;282.46466673373305;170.7877753307096;191.97971754060043
4;halton_7;7;0.18004543124543126;0.17957708957708957;1.8835592635592633;0.03368349368349369;0.48881117481117486;posterior;4;268.34202022576045;164.83307119157985;179.10160581395314
4;halton_8;8;0.3737072535072535;0.42622396622396624;2.1235830635830633;0.039187451587451586;0.5328903838903839;reference;0;320.0488011600949;186.40974407147797;216.01367625965335
4;halton_8;8;0.3737072535072535;0.42622396622396624;2.1235830635830633;0.039187451587451586;0.5328903838903839;anterior;1;332.06591276895386;192.3714543805484;225.8420750541303
4;halton_8;8;0.3737072535072535;0.42622396622396624;2.1235830635830633;0.039187451587451586;0.5328903838903839;central;2;305.4539143142405;178.7406253078855;204.51426560639948
4;halton_8;8;0.3737072535072535;0.42622396622396624;2.1235830635830633;0.039187451587451586;0.5328903838903839;lateral;3;328.8912111231778;190.81539546452478;224.0672896859664
4;halton_8;8;0.3737072535072535;0.42622396622396624;2.1235830635830633;0.039187451587451586;0.5328903838903839;posterior;4;305.81661275046457;179.16415120838616;206.00826263706668
4;halton_9;9;0.13372995592995593;0.6291196591196591;1.4215969515969515;0.04795162915162915;0.5862133692133693;reference;0;302.31391453598127;158.44437605995134;228.40665011544246
4;halton_9;9;0.13372995592995593;0.6291196591196591;1.4215969515969515;0.04795162915162915;0.5862133692133693;anterior;1;314.46475759601185;165.28393236763512;238.65828737538712
4;halton_9;9;0.13372995592995593;0.6291196591196591;1.4215969515969515;0.04795162915162915;0.5862133692133693;central;2;295.2079857712902;156.32247407990852;221.06475001336247
4;halton_9;9;0.13372995592995593;0.6291196591196591;1.4215969515969515;0.04795162915162915;0.5862133692133693;lateral;3;305.51581577991215;158.88707757177053;232.72225279132076
4;halton_9;9;0.13372995592995593;0.6291196591196591;1.4215969515969515;0.04795162915162915;0.5862133692133693;posterior;4;289.7356761862985;151.761848976416;218.2356713236125
4;halton_10;10;0.31595211295211295;0.2826649426649427;1.6064860664860663;0.01953944373944374;0.6635576095576096;reference;0;291.10771534608557;188.57675885873505;190.43020068175804
4;halton_10;10;0.31595211295211295;0.2826649426649427;1.6064860664860663;0.01953944373944374;0.6635576095576096;anterior;1;302.78909040316535;193.20977789835345;200.96727036206164
4;halton_10;10;0.31595211295211295;0.2826649426649427;1.6064860664860663;0.01953944373944374;0.6635576095576096;central;2;275.076341472879;179.6676220108586;177.40176030277817
4;halton_10;10;0.31595211295211295;0.2826649426649427;1.6064860664860663;0.01953944373944374;0.6635576095576096;lateral;3;302.0141949297564;193.7981723359214;200.33620214670728
4;halton_10;10;0.31595211295211295;0.2826649426649427;1.6064860664860663;0.01953944373944374;0.6635576095576096;posterior;4;280.2540828220425;183.17863485089507;181.93251831428728
4;halton_11;11;0.22375573095573098;0.4900818000818001;1.7563280463280462;0.022745269745269747;0.1584987974987975;reference;0;232.61931604406072;136.2472053738726;159.0751653969339
4;halton_11;11;0.22375573095573098;0.4900818000818001;1.7563280463280462;0.022745269745269747;0.1584987974987975;anterior;1;238.50821444341395;138.7507139443703;164.1887432024932
